type,rank,feature_id,score,Kid_mean,Kid_var,Teenager_mean,Teenager_var,Adult_mean,Adult_var,Male_mean,Male_var,Female_mean,Female_var,Valence_mean,Valence_var,Arousal_mean,Arousal_var,Dominance_mean,Dominance_var,Peace_mean,Peace_var,Affection_mean,Affection_var,Esteem_mean,Esteem_var,Anticipation_mean,Anticipation_var,Engagement_mean,Engagement_var,Confidence_mean,Confidence_var,Happiness_mean,Happiness_var,Pleasure_mean,Pleasure_var,Excitement_mean,Excitement_var,Surprise_mean,Surprise_var,Sympathy_mean,Sympathy_var,Doubt/Confusion_mean,Doubt/Confusion_var,Disconnection_mean,Disconnection_var,Fatigue_mean,Fatigue_var,Embarrassment_mean,Embarrassment_var,Yearning_mean,Yearning_var,Disapproval_mean,Disapproval_var,Aversion_mean,Aversion_var,Annoyance_mean,Annoyance_var,Anger_mean,Anger_var,Sensitivity_mean,Sensitivity_var,Sadness_mean,Sadness_var,Disquietment_mean,Disquietment_var,Fear_mean,Fear_var,Pain_mean,Pain_var,Suffering_mean,Suffering_var,feat
shared,1,181174,0.023455415,0.03811212,0.64644855,0.036667496,0.62076455,0.032657422,0.56865513,0.03420212,0.5948422,0.032460008,0.55688345,0.03358681,0.5814359,0.03358681,0.5814359,0.03358681,0.5814359,0.0311529,0.55993605,0.034818158,0.5831345,0.032885365,0.5464684,0.038156006,0.6408,0.034893405,0.5928905,0.040772356,0.6767565,0.033412755,0.5621255,0.036808405,0.6085209,0.041075174,0.66795605,0.03227125,0.577821,0.026971,0.4859927,0.029015196,0.5159011,0.028215222,0.50511944,0.03364771,0.60413355,0.030852601,0.55803573,0.026022445,0.49535194,0.027076855,0.5162907,0.028629508,0.55186725,0.028196761,0.5220264,0.032143157,0.60299623,0.028392946,0.53,0.023455415,0.44512194,0.029849967,0.5542571,0.03546482,0.6122449,0.031208908,0.52191234,0.026196325,0.48307693,181174
shared,2,201998,0.009722269,0.019363241,0.47047088,0.015949422,0.39921808,0.011531055,0.2851596,0.011686091,0.2969191,0.014671445,0.34716156,0.012740454,0.31466374,0.012740454,0.31466374,0.012740454,0.31466374,0.012377883,0.29781565,0.017766539,0.39379475,0.013740043,0.3169145,0.013202244,0.33744,0.013217066,0.32596052,0.012858957,0.32832524,0.015150381,0.3561968,0.015514601,0.3597267,0.014212161,0.3629886,0.014544951,0.34241244,0.013325791,0.30572474,0.015097902,0.33804476,0.011012875,0.26564276,0.016503666,0.38473767,0.011195207,0.26785713,0.009722269,0.2430279,0.018518629,0.3934837,0.01696886,0.39419088,0.016497035,0.37885463,0.016798455,0.40449437,0.012442641,0.31,0.015077511,0.34552845,0.014512838,0.3338898,0.015625918,0.35510203,0.015313523,0.34661356,0.017052826,0.3723077,201998
shared,3,206810,0.009488954,0.016739702,0.42577812,0.019893324,0.48783666,0.019246692,0.46033987,0.020653212,0.49168602,0.016119897,0.40025282,0.019052135,0.45939365,0.019052135,0.45939365,0.019052135,0.45939365,0.01687533,0.41875333,0.015489933,0.4017502,0.01901251,0.46096656,0.02226912,0.5232,0.019295897,0.46398565,0.02431983,0.5603182,0.01642707,0.40649638,0.016827501,0.4220257,0.022432398,0.52789086,0.0147183975,0.36381322,0.014832427,0.36906213,0.012168546,0.3074205,0.01569337,0.3953356,0.016030716,0.39586645,0.012775931,0.33035713,0.017453298,0.42629483,0.009499728,0.24561404,0.010129785,0.27385893,0.0113198105,0.27753305,0.010958259,0.29588014,0.01578889,0.3825,0.0107845105,0.29674795,0.015086645,0.36894825,0.01594079,0.40408164,0.009488954,0.23505977,0.010411153,0.27076924,206810
shared,4,197912,0.0073255473,0.010950686,0.24261771,0.0090011535,0.22024326,0.009041207,0.21264687,0.009518076,0.2235678,0.008707162,0.2032866,0.009231681,0.21640489,0.009231681,0.21640489,0.009231681,0.21640489,0.0095003955,0.21843368,0.011301489,0.24980111,0.009377812,0.22583643,0.009476976,0.22704,0.0098167015,0.229228,0.009876085,0.23596995,0.009281894,0.21113214,0.0106006535,0.23874599,0.01037671,0.24307817,0.0083450535,0.2003891,0.007528613,0.18392205,0.00952369,0.23321554,0.009089737,0.20591581,0.009608232,0.23529412,0.007647723,0.19642857,0.009714569,0.21646747,0.0077923187,0.1904762,0.008529233,0.20746888,0.0073255473,0.19162996,0.007863488,0.2059925,0.008143826,0.1925,0.008789523,0.22154471,0.00868797,0.22370617,0.011438457,0.29795918,0.010784098,0.25099602,0.008733157,0.21846154,197912
shared,5,208800,0.0043604504,0.007825398,0.21109338,0.008754261,0.21980886,0.006990336,0.17961778,0.0067884875,0.17939386,0.008067109,0.1997242,0.007240069,0.18657413,0.007240069,0.18657413,0.007240069,0.18657413,0.00670521,0.17048481,0.008786829,0.2195704,0.0065179304,0.16914499,0.0072369208,0.19072,0.0076541128,0.19655296,0.006897022,0.18404773,0.008464165,0.2128666,0.008134744,0.20377813,0.0076641315,0.20765473,0.0073885666,0.18287937,0.0075272806,0.1863581,0.0066770837,0.15547703,0.0064874757,0.16609783,0.0053341286,0.14149444,0.0051129907,0.12946428,0.0054261917,0.13280213,0.0045734774,0.11278196,0.0065702633,0.15352698,0.0047958116,0.11453745,0.0043604504,0.11985019,0.0058446,0.15,0.0067168754,0.17276423,0.006475408,0.16026711,0.0056980764,0.15102041,0.0046999007,0.12350598,0.004639763,0.12307692,208800
shared,6,248789,0.0034147755,0.018373411,0.31444532,0.018194286,0.30755866,0.0142347105,0.25626543,0.015530986,0.27627534,0.014099998,0.24994254,0.015025605,0.26697513,0.015025605,0.26697513,0.015025605,0.26697513,0.015778698,0.28289825,0.012973436,0.22434367,0.013669997,0.25,0.015240277,0.27568,0.013845094,0.24998204,0.014178002,0.2662395,0.015449789,0.26773888,0.013572294,0.24557878,0.016085614,0.2837948,0.01072401,0.21206225,0.017855769,0.3045067,0.011556041,0.21201414,0.01519111,0.27246872,0.012227945,0.21621622,0.014066698,0.2544643,0.016700407,0.29216468,0.0060398784,0.120300755,0.008931205,0.16182573,0.007457514,0.1431718,0.0034147755,0.06741573,0.01598894,0.27,0.005075257,0.103658535,0.009490039,0.17863105,0.008902128,0.18775511,0.005905131,0.11155379,0.0046603084,0.092307694,248789
shared,7,139281,0.0033280356,0.0038408833,0.102553874,0.003348637,0.09643788,0.0040187384,0.1112904,0.0038536794,0.10817594,0.004092543,0.1105493,0.0039380416,0.10901416,0.0039380416,0.10901416,0.0039380416,0.10901416,0.003849831,0.10761854,0.005169006,0.12887828,0.0041885176,0.11431227,0.0036913776,0.10608,0.004168877,0.11547577,0.0036574295,0.10428634,0.0040135253,0.10990224,0.004432211,0.11655948,0.0037048333,0.10484528,0.003904138,0.11673152,0.004140703,0.11327649,0.0041624843,0.109540634,0.0041979696,0.11149033,0.003509155,0.10174881,0.003986934,0.116071425,0.0033280356,0.09163347,0.004902779,0.13032581,0.005079107,0.15767635,0.005034681,0.1431718,0.0055759605,0.14981273,0.004276161,0.1225,0.0050558406,0.13821138,0.004055784,0.11686143,0.004287081,0.13061224,0.0050925845,0.13545817,0.004267712,0.12615384,139281
shared,8,260176,0.0030470702,0.0065166317,0.12889066,0.0058676633,0.12728062,0.0049423506,0.107256316,0.005113228,0.111564286,0.005327546,0.11089405,0.005188921,0.11132757,0.005188921,0.11132757,0.005188921,0.11132757,0.0060530617,0.11720831,0.0052577876,0.108989656,0.0043487004,0.09293681,0.0051896465,0.11584,0.004730204,0.10312388,0.005201466,0.12063632,0.0046986463,0.098076314,0.0043387916,0.0920418,0.0052488865,0.12072475,0.0053949114,0.09533074,0.0055711754,0.12180268,0.0037372804,0.08127209,0.0040548267,0.08248009,0.005139001,0.11605723,0.0059985863,0.125,0.007609431,0.15670651,0.0036855259,0.085213035,0.0047191516,0.08713693,0.0035192615,0.081497796,0.003314481,0.08988764,0.007727565,0.1475,0.0030470702,0.05894309,0.00430376,0.09682804,0.0044346484,0.08979592,0.003287073,0.059760958,0.004046465,0.07692308,260176
shared,9,238816,0.0026103102,0.004084161,0.06264964,0.004026937,0.056038227,0.004725735,0.06701629,0.0043609003,0.06368827,0.005024281,0.06894967,0.0045951945,0.06554649,0.0045951945,0.06554649,0.0045951945,0.06554649,0.0055183633,0.0777837,0.0052052583,0.07319014,0.0046164393,0.059479553,0.0041215066,0.05824,0.0045042746,0.06355476,0.003776584,0.05700398,0.004884758,0.0674866,0.004074607,0.05868167,0.0038512184,0.058021173,0.0035928213,0.04863813,0.005821489,0.07795372,0.004838846,0.07067138,0.0043921256,0.06712173,0.003898928,0.06200318,0.0026103102,0.04464286,0.0045609153,0.06905711,0.00355776,0.05263158,0.0036620218,0.05394191,0.0035249481,0.05506608,0.0027905933,0.04494382,0.006313777,0.0825,0.0056557166,0.083333336,0.0044820923,0.065108515,0.0046308734,0.06938776,0.0053193695,0.07968128,0.0036828066,0.055384614,238816
shared,10,224895,0.002427678,0.059651848,0.7027135,0.0062279166,0.10642919,0.002427678,0.038475115,0.008100701,0.1058543,0.009522716,0.12433923,0.008602924,0.11238281,0.008602924,0.11238281,0.008602924,0.11238281,0.012725741,0.15077251,0.014279723,0.19809069,0.0051370715,0.08178439,0.007775319,0.10672,0.007349863,0.099605024,0.005844897,0.08108705,0.011511563,0.14758751,0.011771275,0.15192926,0.009526193,0.1262215,0.011745285,0.14396887,0.010299979,0.13763703,0.0064388067,0.09305065,0.00564936,0.084755406,0.0046379557,0.0699523,0.0058932835,0.07589286,0.008209154,0.098273575,0.006449967,0.0877193,0.005951843,0.09128631,0.006021941,0.07268722,0.0062023397,0.07116105,0.024048721,0.2675,0.0045736628,0.06300813,0.0049079545,0.06844741,0.0072018146,0.10204082,0.0040575615,0.059760958,0.0049790707,0.064615384,224895
